FEN,EVAL
r3nrk1/pbqn2pp/1p1pp3/5p2/2PP1B2/1QPB1N2/5PPP/R4RK1 w - - 0 16,-9.0
r3nrk1/pbqn2pp/1p1pp3/5p2/2PP1B2/1QPB4/3N1PPP/R4RK1 b - - 1 16,-31.0
r4rk1/pbqn2pp/1p1ppn2/5p2/2PP1B2/1QPB4/3N1PPP/R4RK1 w - - 2 17,-13.0
r4rk1/pbqn2pp/1p1ppn2/5p2/2PP1B2/1QPB4/3N1PPP/R3R1K1 b - - 3 17,7.0
r4rk1/1bqn2pp/pp1ppn2/5p2/2PP1B2/1QPB4/3N1PPP/R3R1K1 w - - 0 18,46.0
r4rk1/1bqn2pp/pp1pRn2/5p2/2PP1B2/1QPB4/3N1PPP/R5K1 b - - 0 18,202.0
4rrk1/1bqn2pp/pp1pRn2/5p2/2PP1B2/1QPB4/3N1PPP/R5K1 w - - 1 19,202.0
4rrk1/1bqn2pp/pp1pRn2/5p2/2PP1B2/1QPB4/3N1PPP/4R1K1 b - - 2 19,180.0
3qrrk1/1b1n2pp/pp1pRn2/5p2/2PP1B2/1QPB4/3N1PPP/4R1K1 w - - 3 20,240.0
3qrrk1/1b1n2pp/pp1pRn2/2P2p2/3P1B2/1QPB4/3N1PPP/4R1K1 b - - 0 20,194.0
3qrrk1/1b1n2pp/pp2Rn2/2p2p2/3P1B2/1QPB4/3N1PPP/4R1K1 w - - 0 21,160.0
3qRr1k/1b1n2pp/pp3n2/2p2p2/3P1B2/1QPB4/3N1PPP/4R1K1 w - - 1 22,501.0
3R1r1k/1b1n2pp/pp3n2/2p2p2/3P1B2/1QPB4/3N1PPP/4R1K1 b - - 0 22,746.0
3r3k/1b1n2pp/pp3n2/2p2p2/3P1B2/1QPB4/3N1PPP/4R1K1 w - - 0 23,983.0
3r3k/1b1n2pp/pp3n2/2P2p2/5B2/1QPB4/3N1PPP/4R1K1 b - - 0 23,407.0
3r3k/1b4pp/pp3n2/2n2p2/5B2/1QPB4/3N1PPP/4R1K1 w - - 0 24,418.0
3r3k/1b4pp/pQ3n2/2n2p2/5B2/2PB4/3N1PPP/4R1K1 b - - 0 24,342.0
3r3k/1b4p1/pQ3n1p/2n2p2/5B2/2PB4/3N1PPP/4R1K1 w - - 0 25,670.0
3Q4/1b4pk/p4n1p/2n2p2/5B2/2PB4/3N1PPP/4R1K1 w - - 1 26,1022.0
3Q4/1b5k/p4npp/2n2B2/5B2/2P5/3N1PPP/4R1K1 w - - 0 27,1282.0
7k/1b2Q3/p4npp/2n2B2/5B2/2P5/3N1PPP/4R1K1 w - - 2 28,1348.0
5Q2/1b5k/p4npp/2n2B2/5B2/2P5/3N1PPP/4R1K1 w - - 4 29,1409.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,19.0
rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,54.0
rnbqkbnr/p1pppppp/1p6/8/3P4/2P5/PP2PPPP/RNBQKBNR b KQkq - 0 2,30.0
rn1qkbnr/pbpppppp/1p6/8/3P4/2P5/PP2PPPP/RNBQKBNR w KQkq - 1 3,38.0
rn1qkbnr/pbpppppp/1p6/8/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 2 3,25.0
rn1qkbnr/pbpp1ppp/1p2p3/8/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,20.0
rn1qkbnr/pbpp1ppp/1p2p3/6B1/3P4/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 1 4,20.0
rn1qk1nr/pbppbppp/1p2p3/6B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 2 5,9.0
rn1qk1nr/pbppBppp/1p2p3/8/3P4/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 0 5,77.0
rn1qk2r/pbppnppp/1p2p3/8/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 0 6,8.0
rn1qk2r/pbppnppp/1p2p3/8/3P4/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 6,6.0
rn1qk2r/pbppn1pp/1p2p3/5p2/3P4/2P1PN2/PP3PPP/RN1QKB1R w KQkq - 0 7,17.0
rn1qk2r/pbppn1pp/1p2p3/5p2/3P4/2PBPN2/PP3PPP/RN1QK2R b KQkq - 1 7,13.0
rn1q1rk1/pbppn1pp/1p2p3/5p2/3P4/2PBPN2/PP3PPP/RN1QK2R w KQ - 2 8,17.0
rn1q1rk1/pbppn1pp/1p2p3/4Np2/3P4/2PBP3/PP3PPP/RN1QK2R b KQ - 3 8,-20.0
rn1q1rk1/pbp1n1pp/1p1pp3/4Np2/3P4/2PBP3/PP3PPP/RN1QK2R w KQ - 0 9,-76.0
rn1q1rk1/pbp1n1pp/1p1pp3/5p2/3P4/2PBPN2/PP3PPP/RN1QK2R b KQ - 1 9,-16.0
r2q1rk1/pbpnn1pp/1p1pp3/5p2/3P4/2PBPN2/PP3PPP/RN1QK2R w KQ - 2 10,-26.0
r2q1rk1/pbpnn1pp/1p1pp3/5p2/3P4/2P1PN2/PP2BPPP/RN1QK2R b KQ - 3 10,-42.0
r2q1r1k/pbpnn1pp/1p1pp3/5p2/3P4/2P1PN2/PP2BPPP/RN1QK2R w KQ - 4 11,-46.0
r2q1r1k/pbpnn1pp/1p1pp3/5p2/3P4/2P1PN2/PP1NBPPP/R2QK2R b KQ - 5 11,-45.0
r2q1rnk/pbpn2pp/1p1pp3/5p2/3P4/2P1PN2/PP1NBPPP/R2QK2R w KQ - 6 12,-36.0
r2q1rnk/pbpn2pp/1p1pp3/5p2/3P3P/2P1PN2/PP1NBPP1/R2QK2R b KQ - 0 12,-56.0
r2q1r1k/pbpn2pp/1p1ppn2/5p2/3P3P/2P1PN2/PP1NBPP1/R2QK2R w KQ - 1 13,-49.0
r2q1r1k/pbpn2pp/1p1ppn2/5p1P/3P4/2P1PN2/PP1NBPP1/R2QK2R b KQ - 0 13,-61.0
r2q1r1k/pbpn2p1/1p1ppn1p/5p1P/3P4/2P1PN2/PP1NBPP1/R2QK2R w KQ - 0 14,-51.0
r2q1r1k/pbpn2p1/1p1ppn1p/5p1P/3P2P1/2P1PN2/PP1NBP2/R2QK2R b KQ - 0 14,-103.0
r2q1r1k/pbpn2p1/1p1ppn1p/7P/3P2p1/2P1PN2/PP1NBP2/R2QK2R w KQ - 0 15,-321.0
r2q1r1k/pbpn2p1/1p1ppn1p/7P/3P2pN/2P1P3/PP1NBP2/R2QK2R b KQ - 1 15,-186.0
r3qr1k/pbpn2p1/1p1ppn1p/7P/3P2pN/2P1P3/PP1NBP2/R2QK2R w KQ - 2 16,-92.0
r3qr2/pbpn2pk/1p1ppnNp/7P/3P2p1/2P1P3/PP1NBP2/R2QK2R w KQ - 4 17,2.0
r3qn2/pbp3pk/1p1ppn1p/7P/3P2p1/2P1P3/PP1NBP2/R2QK2R w KQ - 0 18,12.0
r3qn1k/pbp3p1/1p1ppn1p/7P/3P2p1/2PBP3/PP1N1P2/R2QK2R w KQ - 2 19,-52.0
r3qn1k/pbp3p1/1p1ppn1p/7P/3P2p1/2PBPP2/PP1N4/R2QK2R b KQ - 0 19,-48.0
r3qn1k/pbp3p1/1p1ppn1p/7P/3P4/2PBPp2/PP1N4/R2QK2R w KQ - 0 20,-94.0
r3qn1k/pbp3p1/1p1ppn1p/7P/3P4/2PBPN2/PP6/R2QK2R b KQ - 0 20,-77.0
r3qn1k/pbp3p1/1p1pp2p/7n/3P4/2PBPN2/PP6/R2QK2R w KQ - 0 21,7.0
r3qn1k/pbp3p1/1p1pp2p/7n/3P3N/2PBP3/PP6/R2QK2R b KQ - 1 21,-39.0
r3qn1k/pbp3p1/1p1ppn1p/8/3P3N/2PBP3/PP6/R2QK2R w KQ - 2 22,-44.0
r3q2k/pbp3p1/1p1ppnnp/8/3P4/2PBP3/PP6/R2QK2R w KQ - 0 23,-407.0
r3q2k/pbp3p1/1p1ppnBp/8/3P4/2P1P3/PP6/R2QK2R b KQ - 0 23,-167.0
r6k/pbp1q1p1/1p1ppnBp/8/3P4/2P1P3/PP6/R2QK2R w KQ - 1 24,-106.0
r6k/pbp1q1p1/1p1ppn1p/7B/3P4/2P1P3/PP6/R2QK2R b KQ - 2 24,-299.0
r6k/p1p1q1p1/1p1ppn1p/7B/3P4/2P1P3/PP6/R2QK2b w Q - 0 25,-534.0
r6k/p1p1q1p1/1p1ppn1p/8/3P4/2P1P3/PP2B3/R2QK2b b Q - 1 25,-796.0
r6k/p1p1q1p1/1p1pp2p/7n/3P4/2P1P3/PP2B3/R2QK2b w Q - 2 26,-355.0
r6k/p1p1q1p1/1p1pp2p/7B/3P4/2P1P3/PP6/R2QK2b b Q - 0 26,-480.0
r6k/p1p3p1/1p1pp2p/7B/3P3q/2P1P3/PP1K4/R2Q3b b - - 2 27,-355.0
5r1k/p1p3p1/1p1pp2p/7B/3P3q/2P1P3/PP1K4/R2Q3b w - - 3 28,-393.0
5r1k/p1p3p1/1p1pp2p/7B/3P3q/2PKP3/PP6/R2Q3b b - - 4 28,-523.0
7k/p1p3p1/1p1pp2p/7B/3P3q/2PKP3/PP3r2/R2Q3b w - - 5 29,-416.0
7k/p1p3p1/1p1pp2p/8/3P3q/2PKP3/PP2Br2/R2Q3b b - - 6 29,-561.0
7k/p1p3p1/3pp2p/1p6/3P3q/2PKP3/PP2Br2/R2Q3b w - - 0 30,-442.0
7k/p1p3p1/3pp2p/1p6/3P3q/1QPKP3/PP2Br2/R6b b - - 1 30,-587.0
7k/p1p3p1/3pp2p/1p6/3Pb2q/1QP1P3/PP1KBr2/R7 b - - 3 31,-537.0
7k/p1p3p1/3pp2p/1p6/3Pb2q/1QP1P3/PP2K3/R7 b - - 0 32,-330.0
7k/p1p3p1/3pp2p/1p6/3Pb3/1QP1P3/PP5q/R2K4 b - - 2 33,-454.0
7k/p1p3p1/3pp2p/1p6/3Pb3/1QP1P3/PP2K3/R5q1 b - - 4 34,-361.0
7k/p1p3p1/3pp2p/1p6/3Pb3/1QP1P3/PP4q1/R2K4 b - - 6 35,-455.0
7k/p1p3p1/3pp2p/1p6/3Pb3/1QP1Pq2/PP1K4/R7 b - - 8 36,-286.0
7k/p1p3p1/3pp2p/1p6/3Pb3/1QP1P3/PP3q2/R2K4 b - - 10 37,-442.0
7k/p1p3p1/3pp2p/1p6/3Pb3/1QP1q3/PP6/R2K4 w - - 0 38,-394.0
7k/p1p3p1/3pp2p/1p6/3Pb3/2P1q3/PPQ5/R2K4 b - - 1 38,-509.0
7k/p1p3p1/3pp2p/1p6/3Pb3/2P2q2/PP2Q3/R2K4 b - - 3 39,-338.0
7k/p1p3p1/3pp2p/1p6/3P4/2P2q2/PPK1Q3/R7 b - - 0 40,231.0
7k/p1p3p1/3pp2p/1p6/3P4/1KP5/PP2q3/R7 b - - 1 41,-653.0
7k/p1p3p1/3pp2p/1p6/3P4/1KP5/PP6/R3q3 w - - 2 42,-124.0
7k/p1p3p1/3pp2p/1p6/3P4/1KP5/PP6/4R3 b - - 0 42,279.0
8/p1p3pk/3pp2p/1p6/3P4/1KP5/PP6/4R3 w - - 1 43,405.0
8/p1p3pk/3pR2p/1p6/3P4/1KP5/PP6/8 b - - 0 43,260.0
7k/p1p3p1/3pR2p/1p6/3P4/1KP5/PP6/8 w - - 1 44,455.0
7k/p1p1R1p1/3p3p/1p6/3P4/1KP5/PP6/8 b - - 2 44,315.0
8/p1p1R1pk/3p3p/1p6/3P4/1KP5/PP6/8 w - - 3 45,476.0
8/p1R3pk/3p3p/1p6/3P4/1KP5/PP6/8 b - - 0 45,380.0
8/p1R3p1/3p2kp/1p6/3P4/1KP5/PP6/8 w - - 1 46,441.0
8/R5p1/3p2kp/1p6/3P4/1KP5/PP6/8 b - - 0 46,364.0
8/R5p1/3p3p/1p5k/3P4/1KP5/PP6/8 w - - 1 47,513.0
8/6p1/R2p3p/1p5k/3P4/1KP5/PP6/8 b - - 2 47,361.0
8/6p1/R2p3p/1p6/3P3k/1KP5/PP6/8 w - - 3 48,417.0
8/6p1/3R3p/1p6/3P3k/1KP5/PP6/8 b - - 0 48,451.0
8/6p1/3R3p/1p6/3P4/1KP4k/PP6/8 w - - 1 49,503.0
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,-19.0
rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,-16.0
rnbqkbnr/ppp1pppp/8/3p4/8/1P6/PBPPPPPP/RN1QKBNR b KQkq - 1 2,-17.0
rnbqkbnr/pp2pppp/8/2pp4/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 0 3,-10.0
rnbqkbnr/pp2pppp/8/2pp4/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,-4.0
r1bqkbnr/pp2pppp/2n5/2pp4/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 1 4,-7.0
r1bqkbnr/pp2pppp/2n5/1Bpp4/8/1P2P3/PBPP1PPP/RN1QK1NR b KQkq - 2 4,-14.0
r1bqkbnr/pp3ppp/2n5/1Bppp3/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq - 0 5,-7.0
r1bqkbnr/p4ppp/2p5/2ppp3/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq - 0 6,-5.0
r1bqkbnr/p4ppp/2p5/2ppB3/8/1P2P3/P1PP1PPP/RN1QK1NR b KQkq - 0 6,30.0
r1bqkb1r/p4ppp/2p2n2/2ppB3/8/1P2P3/P1PP1PPP/RN1QK1NR w KQkq - 1 7,80.0
r1bqkb1r/p4ppp/2p2n2/2pp4/8/1P2P3/PBPP1PPP/RN1QK1NR b KQkq - 2 7,41.0
r1bqk2r/p4ppp/2pb1n2/2pp4/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq - 3 8,46.0
r1bqk2r/p4ppp/2pb1n2/2pp4/5P2/1P2P3/PBPP2PP/RN1QK1NR b KQkq - 0 8,-11.0
r1bq1rk1/p4ppp/2pb1n2/2pp4/5P2/1P2P3/PBPP2PP/RN1QK1NR w KQ - 1 9,2.0
r1bq1rk1/p4ppp/2pb1n2/2pp4/5P2/1P2PN2/PBPP2PP/RN1QK2R b KQ - 2 9,-1.0
r2q1rk1/p4ppp/2pb1n2/2pp4/5Pb1/1P2PN2/PBPP2PP/RN1QK2R w KQ - 3 10,45.0
r2q1rk1/p4ppp/2pb1n2/2pp4/5Pb1/1P2PN2/PBPP2PP/RN1Q1RK1 b - - 4 10,42.0
r2qr1k1/p4ppp/2pb1n2/2pp4/5Pb1/1P2PN2/PBPP2PP/RN1Q1RK1 w - - 5 11,48.0
r2qr1k1/p4ppp/2pb1n2/2ppN3/5Pb1/1P2P3/PBPP2PP/RN1Q1RK1 b - - 6 11,-32.0
r2qr1k1/p4ppp/2p2n2/2ppb3/5Pb1/1P2P3/PBPP2PP/RN1Q1RK1 w - - 0 12,-399.0
r2qr1k1/p4ppp/2p2n2/2ppb3/5Pb1/1P2P3/PBPP2PP/RN2QRK1 b - - 1 12,-483.0
r2qr1k1/p4ppp/2p2n2/2pp4/5Pb1/1P2P3/PbPP2PP/RN2QRK1 w - - 0 13,-600.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27.0
rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,63.0
rnbqkbnr/p1pppppp/1p6/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,56.0
rn1qkbnr/pbpppppp/1p6/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,60.0
rn1qkbnr/pbpppppp/1p6/8/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,28.0
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,30.0
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/3P1N2/PPP1BPPP/RNBQK2R b KQkq - 1 4,22.0
rn1qkb1r/pbpp1ppp/1p2pn2/8/4P3/3P1N2/PPP1BPPP/RNBQK2R w KQkq - 2 5,13.0
rn1qkb1r/pbpp1ppp/1p2pn2/8/4P3/3P1N2/PPP1BPPP/RNBQ1RK1 b kq - 3 5,11.0
rn1qk2r/pbppbppp/1p2pn2/8/4P3/3P1N2/PPP1BPPP/RNBQ1RK1 w kq - 4 6,11.0
rn1qk2r/pbppbppp/1p2pn2/8/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 b kq - 5 6,5.0
rn1q1rk1/pbppbppp/1p2pn2/8/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 w - - 6 7,13.0
rn1q1rk1/pbppbppp/1p2pn2/4P3/8/2NP1N2/PPP1BPPP/R1BQ1RK1 b - - 0 7,46.0
rn1q1rk1/pbppbppp/1p2p3/3nP3/8/2NP1N2/PPP1BPPP/R1BQ1RK1 w - - 1 8,15.0
rn1q1rk1/pbppbppp/1p2p3/3NP3/8/3P1N2/PPP1BPPP/R1BQ1RK1 b - - 0 8,65.0
rn1q1rk1/p1ppbppp/1p2p3/3bP3/8/3P1N2/PPP1BPPP/R1BQ1RK1 w - - 0 9,12.0
rn1q1rk1/p1ppbppp/1p2p3/3bP3/3P4/5N2/PPP1BPPP/R1BQ1RK1 b - - 0 9,23.0
rn1q1rk1/p1p1bppp/1p1pp3/3bP3/3P4/5N2/PPP1BPPP/R1BQ1RK1 w - - 0 10,26.0
rn1q1rk1/p1p1bppp/1p1Pp3/3b4/3P4/5N2/PPP1BPPP/R1BQ1RK1 b - - 0 10,100.0
rn3rk1/p1p1bppp/1p1qp3/3b4/3P4/5N2/PPP1BPPP/R1BQ1RK1 w - - 0 11,6.0
rn3rk1/p1p1bppp/1p1qp3/3b4/2PP4/5N2/PP2BPPP/R1BQ1RK1 b - - 0 11,12.0
rn3rk1/pbp1bppp/1p1qp3/8/2PP4/5N2/PP2BPPP/R1BQ1RK1 w - - 1 12,-1.0
rn3rk1/pbp1bppp/1p1qp3/8/2PP4/3B1N2/PP3PPP/R1BQ1RK1 b - - 2 12,-19.0
rn3rk1/pb2bppp/1p1qp3/2p5/2PP4/3B1N2/PP3PPP/R1BQ1RK1 w - - 0 13,-13.0
rn3rk1/pb2bppp/1p1qp3/2P5/2P5/3B1N2/PP3PPP/R1BQ1RK1 b - - 0 13,19.0
rn3rk1/pb2bppp/1p2p3/2q5/2P5/3B1N2/PP3PPP/R1BQ1RK1 w - - 0 14,-13.0
rn3rk1/pb2bppp/1p2p3/2q5/2P5/3B1N2/PP3PPP/R1BQR1K1 b - - 1 14,-22.0
r4rk1/pb1nbppp/1p2p3/2q5/2P5/3B1N2/PP3PPP/R1BQR1K1 w - - 2 15,-9.0
r4rk1/pb1nbppp/1p2p3/2q5/2P5/3BBN2/PP3PPP/R2QR1K1 b - - 3 15,-26.0
r1q2rk1/pb1nbppp/1p2p3/8/2P5/3BBN2/PP3PPP/R2QR1K1 w - - 4 16,-6.0
r1q2rk1/pb1nbppp/1p2p3/8/2P5/1P1BBN2/P4PPP/R2QR1K1 b - - 0 16,-30.0
r1q2rk1/pb2bppp/1p2pn2/8/2P5/1P1BBN2/P4PPP/R2QR1K1 w - - 1 17,-11.0
r1q2rk1/pb2bppp/1p2pn2/8/2P5/1P1BBN2/P3RPPP/R2Q2K1 b - - 2 17,-51.0
r1q2rk1/pb3ppp/1p2pn2/2b5/2P5/1P1BBN2/P3RPPP/R2Q2K1 w - - 3 18,-24.0
r1q2rk1/pb3ppp/1p2pn2/2B5/2P5/1P1B1N2/P3RPPP/R2Q2K1 b - - 0 18,-8.0
r4rk1/pb3ppp/1p2pn2/2q5/2P5/1P1B1N2/P3RPPP/R2Q2K1 w - - 0 19,-32.0
r4rk1/pb3ppp/1p2pn2/2q5/2P5/1P1B1N2/P2QRPPP/R5K1 b - - 1 19,-40.0
3r1rk1/pb3ppp/1p2pn2/2q5/2P5/1P1B1N2/P2QRPPP/R5K1 w - - 2 20,-45.0
3r1rk1/pb3ppp/1p2pn2/2q5/2P5/1P1BQN2/P3RPPP/R5K1 b - - 3 20,-61.0
3r1rk1/pb2qppp/1p2pn2/8/2P5/1P1BQN2/P3RPPP/R5K1 w - - 4 21,-9.0
3r1rk1/pb2qppp/1p2pn2/8/2P5/1P1BQN2/P3RPPP/3R2K1 b - - 5 21,-23.0
5rk1/pb1rqppp/1p2pn2/8/2P5/1P1BQN2/P3RPPP/3R2K1 w - - 6 22,-9.0
5rk1/pb1rqppp/1p2pn2/8/2P5/1P2QN2/P1B1RPPP/3R2K1 b - - 7 22,-11.0
3r2k1/pb1rqppp/1p2pn2/8/2P5/1P2QN2/P1B1RPPP/3R2K1 w - - 8 23,-5.0
3r2k1/pb1Rqppp/1p2pn2/8/2P5/1P2QN2/P1B1RPPP/6K1 b - - 0 23,128.0
6k1/pb1rqppp/1p2pn2/8/2P5/1P2QN2/P1B1RPPP/6K1 w - - 0 24,0.0
6k1/pb1rqppp/1p2pn2/4N3/2P5/1P2Q3/P1B1RPPP/6K1 b - - 1 24,-7.0
3r2k1/pb2qppp/1p2pn2/4N3/2P5/1P2Q3/P1B1RPPP/6K1 w - - 2 25,16.0
3r2k1/pb2qppp/1p2pn2/4N3/2P5/1P2QP2/P1B1R1PP/6K1 b - - 0 25,5.0
3r2k1/pb2qpp1/1p2pn1p/4N3/2P5/1P2QP2/P1B1R1PP/6K1 w - - 0 26,16.0
3r2k1/pb2qpp1/1p2pn1p/8/2P5/1P1NQP2/P1B1R1PP/6K1 b - - 1 26,-8.0
3r2k1/pbq2pp1/1p2pn1p/8/2P5/1P1NQP2/P1B1R1PP/6K1 w - - 2 27,10.0
3r2k1/pbq2pp1/1p2pn1p/2P5/8/1P1NQP2/P1B1R1PP/6K1 b - - 0 27,-76.0
3r2k1/pbq2pp1/4pn1p/2p5/8/1P1NQP2/P1B1R1PP/6K1 w - - 0 28,-124.0
3r2k1/pbq2pp1/4pn1p/2Q5/8/1P1N1P2/P1B1R1PP/6K1 b - - 0 28,-43.0
3r2k1/pbqn1pp1/4p2p/2Q5/8/1P1N1P2/P1B1R1PP/6K1 w - - 1 29,-1.0
3r2k1/pbQn1pp1/4p2p/8/8/1P1N1P2/P1B1R1PP/6K1 b - - 0 29,455.0
3r2k1/pbQ2pp1/4p2p/4n3/8/1P1N1P2/P1B1R1PP/6K1 w - - 1 30,752.0
3Q4/pb3ppk/4p2p/4n3/8/1P1N1P2/P1B1R1PP/6K1 w - - 1 31,1007.0
3Q4/pb3p1k/4p1pp/4N3/8/1P3P2/P1B1R1PP/6K1 w - - 0 32,1121.0
3Q4/pb3p1k/4p1Np/8/8/1P3P2/P1B1R1PP/6K1 b - - 0 32,841.0
3Q4/pb5k/4p1pp/8/8/1P3P2/P1B1R1PP/6K1 w - - 0 33,1132.0
6k1/pb2Q3/4p1pp/8/8/1P3P2/P1B1R1PP/6K1 w - - 2 34,1096.0
6k1/pQ6/4p1pp/8/8/1P3P2/P1B1R1PP/6K1 b - - 0 34,786.0
5k2/pQ6/4p1pp/8/8/1P3P2/P1B1R1PP/6K1 w - - 1 35,1242.0
5k2/Q7/4p1pp/8/8/1P3P2/P1B1R1PP/6K1 b - - 0 35,851.0
4k3/Q7/4p1pp/8/8/1P3P2/P1B1R1PP/6K1 w - - 1 36,1327.0
4k3/Q7/4p1pp/8/8/1P3P2/P1BR2PP/6K1 b - - 2 36,789.0
5k2/Q7/4p1pp/8/8/1P3P2/P1BR2PP/6K1 w - - 3 37,1248.0
5k2/3Q4/4p1pp/8/8/1P3P2/P1BR2PP/6K1 b - - 4 37,835.0
6k1/3Q4/4p1pp/8/8/1P3P2/P1BR2PP/6K1 w - - 5 38,1214.0
8/6k1/4Q1pp/8/8/1P3P2/P1BR2PP/6K1 w - - 1 39,1493.0
5k2/3R4/4Q1pp/8/8/1P3P2/P1B3PP/6K1 w - - 3 40,1483.0
6k1/3R4/3Q2pp/8/8/1P3P2/P1B3PP/6K1 w - - 5 41,1410.0
6k1/3R4/3Q2pp/8/8/1P1B1P2/P5PP/6K1 b - - 6 41,842.0
7k/3R4/3Q2pp/8/8/1P1B1P2/P5PP/6K1 w - - 7 42,1483.0
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,-19.0
rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,-24.0
rnbqkbnr/pppp1ppp/8/4p3/8/1P6/PBPPPPPP/RN1QKBNR b KQkq - 1 2,-27.0
rnbqkb1r/pppp1ppp/5n2/4p3/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 2 3,-20.0
rnbqkb1r/pppp1ppp/5n2/4B3/8/1P6/P1PPPPPP/RN1QKBNR b KQkq - 0 3,39.0
r1bqkb1r/pppp1ppp/2n2n2/4B3/8/1P6/P1PPPPPP/RN1QKBNR w KQkq - 1 4,54.0
r1bqkb1r/pppp1ppp/2n2n2/8/8/1P6/PBPPPPPP/RN1QKBNR b KQkq - 2 4,67.0
r1bqk2r/pppp1ppp/2n2n2/2b5/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 3 5,99.0
r1bqk2r/pppp1ppp/2n2n2/2b5/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 5,134.0
r1bq1rk1/pppp1ppp/2n2n2/2b5/8/1P2P3/PBPP1PPP/RN1QKBNR w KQ - 1 6,121.0
r1bq1rk1/pppp1ppp/2n2n2/2b5/5P2/1P2P3/PBPP2PP/RN1QKBNR b KQ - 0 6,34.0
r1bq1rk1/ppp2ppp/2n2n2/2bp4/5P2/1P2P3/PBPP2PP/RN1QKBNR w KQ - 0 7,-5.0
r1bq1rk1/ppp2ppp/2n2n2/1Bbp4/5P2/1P2P3/PBPP2PP/RN1QK1NR b KQ - 1 7,-36.0
r1bqr1k1/ppp2ppp/2n2n2/1Bbp4/5P2/1P2P3/PBPP2PP/RN1QK1NR w KQ - 2 8,-20.0
r1bqr1k1/ppp2ppp/2n2n2/1Bbp4/5P2/1P2PN2/PBPP2PP/RN1QK2R b KQ - 3 8,-4.0
r1bqr1k1/ppp2ppp/2n2n2/1Bb5/3p1P2/1P2PN2/PBPP2PP/RN1QK2R w KQ - 0 9,-36.0
r1bqr1k1/ppp2ppp/2B2n2/2b5/3p1P2/1P2PN2/PBPP2PP/RN1QK2R b KQ - 0 9,-47.0
r1bqr1k1/p1p2ppp/2p2n2/2b5/3p1P2/1P2PN2/PBPP2PP/RN1QK2R w KQ - 0 10,-35.0
r1bqr1k1/p1p2ppp/2p2n2/2b5/3N1P2/1P2P3/PBPP2PP/RN1QK2R b KQ - 0 10,25.0
r1bqr1k1/p1p2ppp/2p2n2/8/3b1P2/1P2P3/PBPP2PP/RN1QK2R w KQ - 0 11,-353.0
r1bqr1k1/p1p2ppp/2p2n2/8/3B1P2/1P2P3/P1PP2PP/RN1QK2R b KQ - 0 11,35.0
r1b1r1k1/p1p1qppp/2p2n2/8/3B1P2/1P2P3/P1PP2PP/RN1QK2R w KQ - 1 12,211.0
r1b1r1k1/p1p1qppp/2p2n2/8/3B1P2/1P2P3/P1PP2PP/RN1Q1RK1 b - - 2 12,219.0
r1b1r1k1/p1p1qppp/2p5/3n4/3B1P2/1P2P3/P1PP2PP/RN1Q1RK1 w - - 3 13,276.0
r1b1r1k1/p1p1qppp/2p5/3n4/3B1P2/PP2P3/2PP2PP/RN1Q1RK1 b - - 0 13,222.0
r1b1r1k1/p1p1qppp/2p5/8/3B1P2/PP2n3/2PP2PP/RN1Q1RK1 w - - 0 14,35.0
