FEN,EVAL
b1Q5/5ppk/p6p/1p6/5n2/2N5/PP3PPP/6K1 b - - 0 27,474.0
2Q5/5ppk/p6p/1p6/5n2/2N5/PP3PbP/6K1 w - - 0 28,578.0
8/5ppk/Q6p/1p6/5n2/2N5/PP3PbP/6K1 b - - 0 28,424.0
8/5ppk/Q6p/1p6/5n2/2N2b2/PP3P1P/6K1 w - - 1 29,484.0
8/5ppk/7p/1Q6/5n2/2N2b2/PP3P1P/6K1 b - - 0 29,424.0
8/5ppk/7p/1Q6/8/2N2b1n/PP3P1P/5K2 b - - 2 30,441.0
8/5p1k/6pp/1Q6/8/2N2b1n/PP3P1P/5K2 w - - 0 31,620.0
8/3Q1p1k/6pp/8/8/2N2b1n/PP3P1P/5K2 b - - 1 31,413.0
8/3Q1p1k/6pp/6n1/8/2N2b2/PP3P1P/5K2 w - - 2 32,636.0
8/3Q1p1k/6pp/6n1/7P/2N2b2/PP3P2/5K2 b - - 0 32,440.0
8/3Q1p1k/4n1pp/8/7P/2N2b2/PP3P2/5K2 w - - 1 33,653.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,19.0
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,7.0
rnbqkbnr/ppp1pppp/8/3p4/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,2.0
rnbqkbnr/pp2pppp/2p5/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,4.0
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,14.0
rnbqkbnr/pp2pppp/2p5/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,9.0
rnbqkbnr/pp2pppp/2p5/8/2BP4/4P3/PP3PPP/RNBQK1NR b KQkq - 0 4,40.0
rnbqkbnr/p3pppp/2p5/1p6/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,66.0
rnbqkbnr/p3pppp/2p5/1p6/3P4/1B2P3/PP3PPP/RNBQK1NR b KQkq - 1 5,57.0
rnbqkbnr/4pppp/2p5/pp6/3P4/1B2P3/PP3PPP/RNBQK1NR w KQkq - 0 6,59.0
rnbqkbnr/4pppp/2p5/pp6/3P4/1B2PQ2/PP3PPP/RNB1K1NR b KQkq - 1 6,44.0
rn1qkbnr/1b2pppp/2p5/pp6/3P4/1B2PQ2/PP3PPP/RNB1K1NR w KQkq - 2 7,88.0
rn1q1bnr/1b1kpBpp/2p5/pp6/3P4/4PQ2/PP3PPP/RNB1K1NR w KQ - 1 8,381.0
rn1q1bnr/1bk1pBpp/2p5/pp3Q2/3P4/4P3/PP3PPP/RNB1K1NR w KQ - 3 9,331.0
rn1q1bnr/1bk1pBpp/2p5/pp3Q2/3P4/4PN2/PP3PPP/RNB1K2R b KQ - 4 9,284.0
rn1q1b1r/1bk1pBpp/2p4n/pp3Q2/3P4/4PN2/PP3PPP/RNB1K2R w KQ - 5 10,311.0
rn1q1b1r/1b2pBpp/1kp4n/pp2Q3/3P4/4PN2/PP3PPP/RNB1K2R w KQ - 7 11,350.0
rn1q1b1r/1b2pBpp/1kp4n/pp2Q3/P2P4/4PN2/1P3PPP/RNB1K2R b KQ - 0 11,307.0
rn1q1b1r/1b2pBpp/1kp4n/p3Q3/p2P4/4PN2/1P3PPP/RNB1K2R w KQ - 0 12,409.0
rn1q1b1r/1b2pBpp/1kp4n/p3Q3/p2P4/2N1PN2/1P3PPP/R1B1K2R b KQ - 1 12,404.0
rn1q1b1r/1b2pBpp/1kp5/p3Q3/p2P2n1/2N1PN2/1P3PPP/R1B1K2R w KQ - 2 13,449.0
rn1q1b1r/1b2pBpp/k1p5/p3Q3/N2P2n1/4PN2/1P3PPP/R1B1K2R w KQ - 1 14,633.0
rn1q1b1r/kb2p1pp/2p5/p3Q3/N1BP2n1/4PN2/1P3PPP/R1B1K2R w KQ - 3 15,538.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,24.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq - 0 2,1.0
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq - 1 3,0.0
r1bqkbnr/pp1ppppp/2n5/2p5/P3P3/1P6/2PP1PPP/RNBQKBNR b KQkq - 0 3,-24.0
r1bqkbnr/pp2pppp/2np4/2p5/P3P3/1P6/2PP1PPP/RNBQKBNR w KQkq - 0 4,5.0
r1bqkbnr/pp2pppp/2np4/1Bp5/P3P3/1P6/2PP1PPP/RNBQK1NR b KQkq - 1 4,-3.0
r2qkbnr/pp1bpppp/2np4/1Bp5/P3P3/1P6/2PP1PPP/RNBQK1NR w KQkq - 2 5,18.0
